County,Variable,Category,Value,Obesity Risk,R^2
Fulton,Median Household Income,Sociodemographic,168396.0,22.9,0.999
Hall,Median Household Income,Sociodemographic,48328.0,33.5,0.98
Hall,Median Household Income,Sociodemographic,61860.0,32.7,0.98
Fulton,Median Household Income,Sociodemographic,158011.0,23.4,0.999
Hall,Median Household Income,Sociodemographic,58043.0,32.6,0.98
Hall,Median Household Income,Sociodemographic,61220.0,32.8,0.98
Hall,Median Household Income,Sociodemographic,81071.0,30.8,0.98
Hall,Median Household Income,Sociodemographic,65909.0,32.7,0.98
Hall,Median Household Income,Sociodemographic,83000.0,26.6,0.98
Hall,Median Household Income,Sociodemographic,71163.0,31.0,0.98
Hall,Median Household Income,Sociodemographic,62083.0,31.5,0.98
Fulton,Median Household Income,Sociodemographic,97257.0,23.3,0.999
Hall,Median Household Income,Sociodemographic,70443.0,29.8,0.98
Fulton,Median Household Income,Sociodemographic,90140.0,23.1,0.999
Hall,Median Household Income,Sociodemographic,69355.0,31.9,0.98
Fulton,Median Household Income,Sociodemographic,53686.0,23.0,0.999
Hall,Median Household Income,Sociodemographic,46883.0,31.6,0.98
Fulton,Median Household Income,Sociodemographic,84107.0,33.0,0.999
Hall,Median Household Income,Sociodemographic,50144.0,41.1,0.98
Hall,Median Household Income,Sociodemographic,59907.0,36.2,0.98
Hall,Median Household Income,Sociodemographic,21788.0,39.4,0.98
Hall,Median Household Income,Sociodemographic,60159.0,31.2,0.98
Fulton,Median Household Income,Sociodemographic,103846.0,18.5,0.999
Fulton,Median Household Income,Sociodemographic,31042.0,18.5,0.999
Hall,Median Household Income,Sociodemographic,66639.0,31.8,0.98
Hall,Median Household Income,Sociodemographic,33030.0,41.0,0.98
Hall,Median Household Income,Sociodemographic,52891.0,31.0,0.98
Fulton,Median Household Income,Sociodemographic,109426.0,23.2,0.999
Hall,Median Household Income,Sociodemographic,31851.0,42.3,0.98
Hall,Median Household Income,Sociodemographic,48641.0,37.8,0.98
Fulton,Median Household Income,Sociodemographic,80476.0,22.9,0.999
Hall,Median Household Income,Sociodemographic,52912.0,36.9,0.98
Fulton,Median Household Income,Sociodemographic,93143.0,22.1,0.999
Hall,Median Household Income,Sociodemographic,47905.0,38.8,0.98
Fulton,Median Household Income,Sociodemographic,76188.0,25.2,0.999
Hall,Median Household Income,Sociodemographic,61576.0,32.8,0.98
Hall,Median Household Income,Sociodemographic,83654.0,32.1,0.98
Fulton,Median Household Income,Sociodemographic,84167.0,21.4,0.999
Hall,Median Household Income,Sociodemographic,68723.0,31.1,0.98
Hall,Median Household Income,Sociodemographic,60321.0,32.3,0.98
Hall,Median Household Income,Sociodemographic,59129.0,34.4,0.98
Fulton,Median Household Income,Sociodemographic,66490.0,25.2,0.999
Hall,Median Household Income,Sociodemographic,69375.0,31.9,0.98
Hall,Median Household Income,Sociodemographic,75195.0,29.3,0.98
Fulton,Median Household Income,Sociodemographic,78182.0,22.4,0.999
Hall,Median Household Income,Sociodemographic,87770.0,31.6,0.98
Hall,Median Household Income,Sociodemographic,99088.0,30.5,0.98
Hall,Median Household Income,Sociodemographic,117950.0,30.6,0.98
Hall,Median Household Income,Sociodemographic,61202.0,30.8,0.98
Hall,Median Household Income,Sociodemographic,74769.0,31.4,0.98
Hall,Median Household Income,Sociodemographic,93283.0,28.6,0.98
Fulton,Median Household Income,Sociodemographic,94750.0,27.2,0.999
Fulton,Median Household Income,Sociodemographic,49486.0,30.4,0.999
Fulton,Median Household Income,Sociodemographic,62656.0,26.4,0.999
Fulton,Median Household Income,Sociodemographic,68618.0,38.1,0.999
Fulton,Median Household Income,Sociodemographic,26683.0,44.0,0.999
Fulton,Median Household Income,Sociodemographic,28056.0,42.4,0.999
Fulton,Median Household Income,Sociodemographic,30283.0,42.4,0.999
Fulton,Median Household Income,Sociodemographic,33611.0,42.2,0.999
Fulton,Median Household Income,Sociodemographic,33165.0,27.4,0.999
Fulton,Median Household Income,Sociodemographic,71210.0,28.5,0.999
Fulton,Median Household Income,Sociodemographic,113125.0,22.9,0.999
Fulton,Median Household Income,Sociodemographic,62250.0,28.2,0.999
Fulton,Median Household Income,Sociodemographic,111830.0,23.3,0.999
Fulton,Median Household Income,Sociodemographic,53889.0,39.4,0.999
Fulton,Median Household Income,Sociodemographic,53152.0,35.4,0.999
Fulton,Median Household Income,Sociodemographic,20625.0,29.6,0.999
Fulton,Median Household Income,Sociodemographic,33000.0,42.3,0.999
Fulton,Median Household Income,Sociodemographic,32417.0,41.6,0.999
Fulton,Median Household Income,Sociodemographic,54208.0,37.7,0.999
Fulton,Median Household Income,Sociodemographic,18913.0,41.8,0.999
Fulton,Median Household Income,Sociodemographic,36750.0,31.4,0.999
Fulton,Median Household Income,Sociodemographic,23587.0,42.6,0.999
Fulton,Median Household Income,Sociodemographic,19612.0,41.5,0.999
Fulton,Median Household Income,Sociodemographic,84655.0,30.5,0.999
Fulton,Median Household Income,Sociodemographic,75570.0,24.6,0.999
Fulton,Median Household Income,Sociodemographic,111759.0,26.7,0.999
Fulton,Median Household Income,Sociodemographic,102303.0,26.7,0.999
Fulton,Median Household Income,Sociodemographic,37647.0,37.1,0.999
Fulton,Median Household Income,Sociodemographic,21804.0,43.4,0.999
Fulton,Median Household Income,Sociodemographic,25170.0,42.1,0.999
Fulton,Median Household Income,Sociodemographic,42679.0,37.7,0.999
Fulton,Median Household Income,Sociodemographic,38708.0,40.2,0.999
Fulton,Median Household Income,Sociodemographic,29323.0,43.4,0.999
Fulton,Median Household Income,Sociodemographic,37500.0,41.7,0.999
Fulton,Median Household Income,Sociodemographic,31483.0,42.2,0.999
Fulton,Median Household Income,Sociodemographic,30395.0,39.8,0.999
Fulton,Median Household Income,Sociodemographic,50163.0,39.4,0.999
Fulton,Median Household Income,Sociodemographic,44250.0,39.0,0.999
Fulton,Median Household Income,Sociodemographic,25375.0,45.5,0.999
Fulton,Median Household Income,Sociodemographic,25651.0,40.7,0.999
Fulton,Median Household Income,Sociodemographic,0.0,39.6,0.999
Fulton,Median Household Income,Sociodemographic,14375.0,47.3,0.999
Fulton,Median Household Income,Sociodemographic,73429.0,32.2,0.999
Fulton,Median Household Income,Sociodemographic,29528.0,44.7,0.999
Fulton,Median Household Income,Sociodemographic,45451.0,38.5,0.999
Fulton,Median Household Income,Sociodemographic,25489.0,43.8,0.999
Fulton,Median Household Income,Sociodemographic,27083.0,43.5,0.999
Fulton,Median Household Income,Sociodemographic,32044.0,41.7,0.999
Fulton,Median Household Income,Sociodemographic,19740.0,44.2,0.999
Fulton,Median Household Income,Sociodemographic,26205.0,43.3,0.999
Fulton,Median Household Income,Sociodemographic,32500.0,42.5,0.999
Fulton,Median Household Income,Sociodemographic,13456.0,46.9,0.999
Fulton,Median Household Income,Sociodemographic,21863.0,45.6,0.999
Fulton,Median Household Income,Sociodemographic,44452.0,39.3,0.999
Fulton,Median Household Income,Sociodemographic,35814.0,40.5,0.999
Fulton,Median Household Income,Sociodemographic,25906.0,40.7,0.999
Fulton,Median Household Income,Sociodemographic,45101.0,38.8,0.999
Fulton,Median Household Income,Sociodemographic,51388.0,39.6,0.999
Fulton,Median Household Income,Sociodemographic,31174.0,39.7,0.999
Fulton,Median Household Income,Sociodemographic,41529.0,39.0,0.999
Fulton,Median Household Income,Sociodemographic,24398.0,43.3,0.999
Fulton,Median Household Income,Sociodemographic,12485.0,47.4,0.999
Fulton,Median Household Income,Sociodemographic,61125.0,34.3,0.999
Fulton,Median Household Income,Sociodemographic,43854.0,40.2,0.999
Fulton,Median Household Income,Sociodemographic,44878.0,39.4,0.999
Fulton,Median Household Income,Sociodemographic,27119.0,41.4,0.999
Fulton,Median Household Income,Sociodemographic,38080.0,40.7,0.999
Fulton,Median Household Income,Sociodemographic,27093.0,42.5,0.999
Fulton,Median Household Income,Sociodemographic,25060.0,45.5,0.999
Fulton,Median Household Income,Sociodemographic,28318.0,41.1,0.999
Fulton,Median Household Income,Sociodemographic,24183.0,42.2,0.999
Fulton,Median Household Income,Sociodemographic,24890.0,40.9,0.999
Fulton,Median Household Income,Sociodemographic,22696.0,44.4,0.999
Fulton,Median Household Income,Sociodemographic,37708.0,40.7,0.999
Fulton,Median Household Income,Sociodemographic,33732.0,39.6,0.999
Fulton,Median Household Income,Sociodemographic,103385.0,26.6,0.999
Fulton,Median Household Income,Sociodemographic,72432.0,23.0,0.999
Fulton,Median Household Income,Sociodemographic,75978.0,30.0,0.999
Fulton,Median Household Income,Sociodemographic,85517.0,22.4,0.999
Fulton,Median Household Income,Sociodemographic,111146.0,21.5,0.999
Fulton,Median Household Income,Sociodemographic,79489.0,24.1,0.999
Fulton,Median Household Income,Sociodemographic,59444.0,25.3,0.999
Fulton,Median Household Income,Sociodemographic,71482.0,25.7,0.999
Fulton,Median Household Income,Sociodemographic,106128.0,24.5,0.999
Fulton,Median Household Income,Sociodemographic,75088.0,23.8,0.999
Fulton,Median Household Income,Sociodemographic,63269.0,24.0,0.999
Fulton,Median Household Income,Sociodemographic,81004.0,22.4,0.999
Fulton,Median Household Income,Sociodemographic,185521.0,22.5,0.999
Fulton,Median Household Income,Sociodemographic,86053.0,24.4,0.999
Fulton,Median Household Income,Sociodemographic,107386.0,21.4,0.999
Fulton,Median Household Income,Sociodemographic,102778.0,22.1,0.999
Fulton,Median Household Income,Sociodemographic,83243.0,23.3,0.999
Fulton,Median Household Income,Sociodemographic,208750.0,23.4,0.999
Fulton,Median Household Income,Sociodemographic,125375.0,22.1,0.999
Fulton,Median Household Income,Sociodemographic,165583.0,22.3,0.999
Fulton,Median Household Income,Sociodemographic,152500.0,22.2,0.999
Fulton,Median Household Income,Sociodemographic,108197.0,23.4,0.999
Fulton,Median Household Income,Sociodemographic,146182.0,21.7,0.999
Haralson,Median Household Income,Sociodemographic,56071.0,35.8,-0.0
Jasper,Median Household Income,Sociodemographic,56250.0,35.5,-0.0
Pike,Median Household Income,Sociodemographic,63788.0,33.6,-0.0
Fulton,Median Household Income,Sociodemographic,81952.0,26.4,0.999
Fulton,Median Household Income,Sociodemographic,203636.0,23.8,0.999
Fulton,Median Household Income,Sociodemographic,126711.0,24.1,0.999
Fulton,Median Household Income,Sociodemographic,73727.0,23.9,0.999
Fulton,Median Household Income,Sociodemographic,61583.0,27.0,0.999
Fulton,Median Household Income,Sociodemographic,72450.0,24.8,0.999
Fulton,Median Household Income,Sociodemographic,127688.0,23.1,0.999
Fulton,Median Household Income,Sociodemographic,60731.0,29.2,0.999
Fulton,Median Household Income,Sociodemographic,55023.0,31.7,0.999
Fulton,Median Household Income,Sociodemographic,56402.0,31.0,0.999
Fulton,Median Household Income,Sociodemographic,77500.0,27.7,0.999
Fulton,Median Household Income,Sociodemographic,90451.0,20.6,0.999
Fulton,Median Household Income,Sociodemographic,90586.0,21.2,0.999
Fulton,Median Household Income,Sociodemographic,77969.0,25.3,0.999
Haralson,Median Household Income,Sociodemographic,49091.0,33.1,-0.0
Jasper,Median Household Income,Sociodemographic,54138.0,34.9,-0.0
Pike,Median Household Income,Sociodemographic,71250.0,32.9,-0.0
Fulton,Median Household Income,Sociodemographic,171875.0,23.0,0.999
Fulton,Median Household Income,Sociodemographic,103828.0,24.0,0.999
Fulton,Median Household Income,Sociodemographic,192375.0,23.1,0.999
Fulton,Median Household Income,Sociodemographic,72022.0,25.4,0.999
Fulton,Median Household Income,Sociodemographic,61575.0,27.4,0.999
Fulton,Median Household Income,Sociodemographic,82212.0,24.9,0.999
Fulton,Median Household Income,Sociodemographic,142750.0,23.5,0.999
Fulton,Median Household Income,Sociodemographic,67350.0,30.5,0.999
Pike,Median Household Income,Sociodemographic,63973.0,34.0,-0.0
Fulton,Median Household Income,Sociodemographic,75636.0,33.3,0.999
Haralson,Median Household Income,Sociodemographic,48239.0,35.5,-0.0
Haralson,Median Household Income,Sociodemographic,52609.0,34.0,-0.0
Fulton,Median Household Income,Sociodemographic,71457.0,35.3,0.999
Fulton,Median Household Income,Sociodemographic,80641.0,34.5,0.999
Fulton,Median Household Income,Sociodemographic,50980.0,33.9,0.999
Haralson,Median Household Income,Sociodemographic,45023.0,34.5,-0.0
Pike,Median Household Income,Sociodemographic,63226.0,32.3,-0.0
Jasper,Median Household Income,Sociodemographic,47908.0,36.6,-0.0
Fulton,Median Household Income,Sociodemographic,43986.0,38.7,0.999
Fulton,Median Household Income,Sociodemographic,59474.0,36.5,0.999
Fulton,Median Household Income,Sociodemographic,48051.0,35.8,0.999
Fulton,Median Household Income,Sociodemographic,56719.0,37.5,0.999
Fulton,Median Household Income,Sociodemographic,40215.0,39.0,0.999
Fulton,Median Household Income,Sociodemographic,48344.0,37.7,0.999
Fulton,Median Household Income,Sociodemographic,66144.0,34.6,0.999
Fulton,Median Household Income,Sociodemographic,55883.0,33.4,0.999
Fulton,Median Household Income,Sociodemographic,59783.0,37.3,0.999
Fulton,Median Household Income,Sociodemographic,34508.0,40.0,0.999
Fulton,Median Household Income,Sociodemographic,34830.0,39.6,0.999
Fulton,Median Household Income,Sociodemographic,36044.0,39.2,0.999
Fulton,Median Household Income,Sociodemographic,44881.0,33.2,0.999
Fulton,Median Household Income,Sociodemographic,23546.0,42.8,0.999
Fulton,Median Household Income,Sociodemographic,60333.0,33.6,0.999
Fulton,Median Household Income,Sociodemographic,35670.0,39.9,0.999
Fulton,Median Household Income,Sociodemographic,44614.0,36.4,0.999
Fulton,Median Household Income,Sociodemographic,50893.0,36.4,0.999
Fulton,Median Household Income,Sociodemographic,45942.0,35.9,0.999
Fulton,Median Household Income,Sociodemographic,36707.0,39.7,0.999
Fulton,Median Household Income,Sociodemographic,33587.0,39.4,0.999
Fulton,Median Household Income,Sociodemographic,85081.0,27.0,0.999
Fulton,Median Household Income,Sociodemographic,117157.0,25.9,0.999
Fulton,Median Household Income,Sociodemographic,85114.0,26.5,0.999
Fulton,Median Household Income,Sociodemographic,91222.0,26.1,0.999
Fulton,Median Household Income,Sociodemographic,80389.0,27.4,0.999
Fulton,Median Household Income,Sociodemographic,109417.0,23.7,0.999
Fulton,Median Household Income,Sociodemographic,96635.0,24.4,0.999
Fulton,Median Household Income,Sociodemographic,160820.0,24.2,0.999
Fulton,Median Household Income,Sociodemographic,124358.0,23.8,0.999
Fulton,Median Household Income,Sociodemographic,48988.0,35.9,0.999
Fulton,Median Household Income,Sociodemographic,50326.0,31.3,0.999
Fulton,Median Household Income,Sociodemographic,70833.0,25.9,0.999
Fulton,Median Household Income,Sociodemographic,128085.0,24.4,0.999
Fulton,Median Household Income,Sociodemographic,95410.0,25.2,0.999
Fulton,Median Household Income,Sociodemographic,162672.0,23.0,0.999
Fulton,Median Household Income,Sociodemographic,126375.0,25.6,0.999
Fulton,Median Household Income,Sociodemographic,126452.0,24.9,0.999
Fulton,Median Household Income,Sociodemographic,168750.0,23.2,0.999
Fulton,Median Household Income,Sociodemographic,236149.0,24.2,0.999
Fulton,Median Household Income,Sociodemographic,166938.0,24.8,0.999
Fulton,Median Household Income,Sociodemographic,165266.0,23.7,0.999
Fulton,Median Household Income,Sociodemographic,114464.0,24.2,0.999
Fulton,Median Household Income,Sociodemographic,68620.0,26.0,0.999
Fulton,Median Household Income,Sociodemographic,150901.0,23.0,0.999
Fulton,Median Household Income,Sociodemographic,110066.0,24.5,0.999
Fulton,Median Household Income,Sociodemographic,74184.0,25.4,0.999
Fulton,Median Household Income,Sociodemographic,161263.0,24.0,0.999
Fulton,Median Household Income,Sociodemographic,104176.0,23.5,0.999
Fulton,Median Household Income,Sociodemographic,144125.0,24.0,0.999
Fulton,Median Household Income,Sociodemographic,122857.0,23.1,0.999
Fulton,Median Household Income,Sociodemographic,93750.0,22.5,0.999
Fulton,Median Household Income,Sociodemographic,141513.0,23.6,0.999
Fulton,Median Household Income,Sociodemographic,157692.0,24.0,0.999
Fulton,Median Household Income,Sociodemographic,149583.0,20.6,0.999
Fulton,Median Household Income,Sociodemographic,121389.0,21.6,0.999
Fulton,Median Household Income,Sociodemographic,196016.0,23.6,0.999
Fulton,Median Household Income,Sociodemographic,122361.0,22.3,0.999
Fulton,Median Household Income,Sociodemographic,102699.0,23.2,0.999
Fulton,Median Household Income,Sociodemographic,30972.0,32.7,0.999
Fulton,Median Household Income,Sociodemographic,25699.0,33.4,0.999
Fulton,Median Household Income,Sociodemographic,27188.0,44.3,0.999
Fulton,Median Household Income,Sociodemographic,52188.0,34.1,0.999
DeKalb,Median Household Income,Sociodemographic,170096.0,24.5,0.995
DeKalb,Median Household Income,Sociodemographic,84867.0,24.0,0.995
DeKalb,Median Household Income,Sociodemographic,147614.0,25.8,0.995
DeKalb,Median Household Income,Sociodemographic,106103.0,24.1,0.995
DeKalb,Median Household Income,Sociodemographic,65694.0,31.7,0.995
DeKalb,Median Household Income,Sociodemographic,63313.0,33.3,0.995
DeKalb,Median Household Income,Sociodemographic,95417.0,30.2,0.995
DeKalb,Median Household Income,Sociodemographic,94662.0,28.4,0.995
DeKalb,Median Household Income,Sociodemographic,73981.0,34.5,0.995
DeKalb,Median Household Income,Sociodemographic,71618.0,31.3,0.995
DeKalb,Median Household Income,Sociodemographic,166563.0,25.6,0.995
DeKalb,Median Household Income,Sociodemographic,110504.0,23.5,0.995
DeKalb,Median Household Income,Sociodemographic,127957.0,23.6,0.995
DeKalb,Median Household Income,Sociodemographic,28242.0,38.4,0.995
DeKalb,Median Household Income,Sociodemographic,74922.0,25.3,0.995
DeKalb,Median Household Income,Sociodemographic,80692.0,23.9,0.995
DeKalb,Median Household Income,Sociodemographic,168967.0,23.7,0.995
DeKalb,Median Household Income,Sociodemographic,106389.0,24.5,0.995
DeKalb,Median Household Income,Sociodemographic,154063.0,24.1,0.995
DeKalb,Median Household Income,Sociodemographic,172279.0,24.4,0.995
DeKalb,Median Household Income,Sociodemographic,100348.0,20.9,0.995
DeKalb,Median Household Income,Sociodemographic,86828.0,21.5,0.995
DeKalb,Median Household Income,Sociodemographic,106216.0,25.4,0.995
DeKalb,Median Household Income,Sociodemographic,60254.0,26.7,0.995
DeKalb,Median Household Income,Sociodemographic,46667.0,32.7,0.995
